HORA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PROMEDIO,AÑO
1,12.91,10.85,8.99,9.05,6.82,6.11,5.94,6.29,7.31,9.06,9.27,9.24,11.88,2019
2,12.27,10.45,8.59,8.81,6.58,6.03,5.89,6.16,7.07,8.79,8.99,8.98,11.36,2019
3,11.75,11.54,8.45,8.64,6.41,5.98,5.88,6.12,7.02,8.63,8.77,8.59,11.65,2019
4,11.47,11.34,8.32,8.51,6.43,6.13,5.97,6.19,6.99,8.38,8.56,8.53,11.41,2019
5,11.47,10.93,8.35,8.54,6.56,6.41,6.17,6.47,6.95,8.41,8.55,8.48,11.20,2019
6,11.36,9.95,8.89,8.64,7.43,7.56,7.71,7.34,7.35,8.39,8.04,7.98,10.66,2019
7,10.95,9.47,8.54,8.71,7.47,7.22,7.58,7.31,7.41,8.43,8.18,8.21,10.21,2019
8,11.39,9.97,8.98,9.91,7.77,7.58,7.97,7.61,7.77,9.03,8.74,8.66,10.68,2019
9,11.82,9.65,9.27,9.45,8.05,7.86,8.15,7.82,8.09,9.31,8.88,8.95,10.74,2019
10,12.15,10.75,9.82,9.72,8.36,8.31,8.44,8.17,8.52,9.70,9.26,9.25,11.45,2019
11,12.66,11.26,10.41,10.34,8.88,8.87,8.97,8.73,9.13,10.28,9.86,9.54,11.96,2019
12,12.57,11.24,10.38,10.24,9.03,8.65,8.61,8.52,9.13,10.34,9.85,9.61,11.91,2019
13,12.78,10.98,10.02,10.08,8.46,7.95,7.91,7.92,8.71,10.31,9.84,9.66,11.88,2019
14,13.15,11.95,10.62,10.48,8.36,8.02,7.83,7.96,9.05,10.81,10.64,10.02,12.55,2019
15,13.17,11.69,10.53,10.36,8.24,7.83,7.84,7.94,8.99,10.48,10.62,10.07,12.43,2019
16,12.57,11.29,10.28,10.12,8.31,7.92,7.97,7.94,8.82,9.95,10.13,9.68,11.93,2019
17,11.96,10.95,9.92,10.36,9.42,9.73,9.49,8.91,9.12,9.76,9.56,9.28,11.46,2019
18,11.33,10.65,10.54,11.83,10.33,10.36,10.46,10.64,10.88,9.81,9.24,9.17,10.99,2019
19,11.85,11.08,11.45,11.73,10.23,9.91,9.91,10.15,10.79,11.27,10.58,10.52,11.47,2019
20,14.05,12.85,11.95,11.33,9.76,9.18,9.07,9.45,10.38,11.61,11.21,11.11,13.45,2019
21,14.45,12.95,11.34,10.86,9.21,8.42,8.19,8.72,9.72,11.38,11.22,11.04,13.70,2019
22,13.94,12.34,10.84,10.27,8.33,7.47,7.19,7.66,8.98,10.83,10.81,10.53,13.14,2019
23,13.35,11.91,10.21,9.72,7.75,6.87,6.65,7.09,8.43,10.35,10.67,10.19,12.63,2019
24,13.42,12.79,9.51,9.21,7.31,6.42,6.09,6.61,8.34,9.83,9.97,9.71,13.11,2019
1,10.97,10.64,10.21,6.92,7.04,7.11,6.55,6.86,8.49,10.66,10.44,11.57,10.81,2020
2,10.63,10.25,9.72,6.71,6.91,6.99,6.41,6.53,8.14,10.21,10.10,11.10,10.44,2020
3,10.37,9.95,9.41,6.63,6.88,6.98,6.40,6.51,8.05,9.98,9.77,10.80,10.16,2020
4,10.25,9.68,9.11,6.53,6.89,7.00,6.45,6.52,7.99,9.71,9.57,10.52,9.97,2020
